,Label,OBO Ontology ID,Markers
1,Afferent / Efferent Arteriole Endothelial,[kidney afferent arteriole endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001096),"VEGFC,ADGRL4,CCDC3,CD34,ADAMTS6,PALMD,CDH13,GFOD1,CHRM3,TEK"
2,Ascending Thin Limb,"[kidney loop of Henle thin ascending limb epithelial cell
](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001107)","SH3GL3,BICDL1,LGR4,PATJ,CACNA2D3,PLCB1,BICC1,COBLL1,PKHD1,PAX8"
3,Ascending Vasa Recta Endothelial,"[vasa recta ascending limb cell
](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001131)","RAMP3,TLL1,PLVAP,CEACAM1,TEK,ADGRL4,PLAT,LIMS2,LINC02147,GPM6A"
4,B,[mature B cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000785),"FCRL1,MS4A1,PAX5,IGHM,ARHGAP24,MARCH1,BANK1,INPP5D,RALGPS2,ZCCHC7"
5,Classical Dendritic,[dendritic cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000451),"RAB7B,IDO1,FLT3,IDO2,WDFY4,FNBP1,CCDC26,CLNK,HDAC9,SLC9A9"
6,Connecting Tubule,[kidney connecting tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000768),"LINC01099,SLC14A2,DCDC2,SCN2A,TOX3,NR3C2,PIK3C2G,PDE4D,KAZN,COBLL1"
7,Connecting Tubule Intercalated Type A,[renal alpha-intercalated cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0005011),"SLC26A7,CLNK,SLIT2,PDE1C,MAGI1,SLC8A1,TMEM117,MPPED2,GALNT17,PDE4D"
8,Connecting Tubule Principal,[kidney collecting duct principal cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001431),"SCNN1G,HSD11B2,RALYL,PIK3C2G,TEX41,PDE4D,CADPS2,ABTB2,BMPR1B,AGBL4"
9,Cortical Collecting Duct Intercalated Type A,[renal alpha-intercalated cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0005011),"GALNT17,ATP6V1C2,RHCG,ATP6V0D2,CLNK,KIT,PDE1C,PACRG,ABCC4,TMEM101"
10,Cortical Collecting Duct Principal,[kidney collecting duct principal cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001431),"PWRN1,AQP2,GATA3,KSR2,PDE4D,ABTB2,GRIP1,LINC01482,TOX,PIK3C2G"
11,Cortical Thick Ascending Limb,[kidney loop of Henle cortical thick ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/1001109),"GP2,HS6ST2,CASR,RP1,ESRRB,SLC12A1,LINC01606,CCDC148,UMOD,CACNA2D3"
12,Cortical Vascular Smooth Muscle / Pericyte,[vascular associated smooth muscle cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000359),"LDB3,MCAM,NTRK3,KCNAB1,MYH11,CARMN,PDZRN4,LMOD1,ACTA2,DGKB"
13,Cycling Mononuclear Phagocyte,[mononuclear phagocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000113),"DLEU2,FOXN3,HDAC9,LDLRAD4,RUNX1,CELF2,RBPJ,FMN1,CHST11,PRKCB"
14,Descending Thin Limb Type 1,[kidney loop of Henle thin descending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001111),"PAX8,ALDH1A2,FOXP2,MYO9A,BICC1,LINC01320,UGT2B7,PKHD1"
15,Descending Thin Limb Type 2,[kidney loop of Henle thin descending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001111),"BICC1,LINC01320,GALNT14,ADAMTS9-AS1,MYO9A,UNC5D,ITGB8,PKHD1,STOX2,KCTD16"
16,Descending Thin Limb Type 3,[kidney loop of Henle thin descending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001111),"DSCAML1,MAGI2,ARHGAP29,FOXP2,BICC1,PTPN14,PAX8,MYO9A,COL4A3,NEBL"
17,Descending Vasa Recta Endothelial ,[vasa recta descending limb cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001285),"PALMD,ADGRL4,ADAMTS6,EFNB2,CDH13,PTPRB,SYN3,RUNX1T1,PLPP1,TIMP3"
18,Distal Convoluted Tubule Type 1,[kidney distal convoluted tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000849),"LINC01055,SLC12A3,TRPM6,CACNA1D,TMEM52B,ARHGAP6,LINC01762,FGF13,EGF,TRPM7"
19,Distal Convoluted Tubule Type 2,[kidney distal convoluted tubule epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000849),"TMEM52B,TRPM6,SLC12A3,SCN2A,NFE2L2,LINC01762,WNK1,ATP1B1,TOX3,KITLG"
20,Fibroblast,[fibroblast](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000057),"ADAMTS12,ABCA6,FBLN5,CDH11,CCBE1,SVEP1,NID1,C7,CLMP,ATRNL1"
21,Glomerular Capillary Endothelial,[glomerular capillary endothelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001005),"HECW2,BTNL9,FLT1,PLAT,EMCN,PLPP3,SMAD6,TEK,SHANK3,PTPRB"
22,Inner Medullary Collecting Duct,[kidney inner medulla collecting duct epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000547),"CAPN8,ANK3,LINC01924,ABTB2,SLC14A2,SAMD12,GRIP1,NAALADL2,PCDH7,SDK1"
23,Intercalated Type B,[renal beta-intercalated cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002201),"SLC4A9,SLC26A4,LINC01187,SLC35F3,IL18,DGKI,PPM1E,PDZD2,CLNK,NEBL"
24,Lymphatic Endothelial,[endothelial cell of lymphatic vessel](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002138),"TBX1,CCL21,MMRN1,PKHD1L1,SEMA3A,FLRT2,RELN,GRAPL,ELK3,KALRN"
25,Macula Densa,[macula densa epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1000850),"NOS1,TMPRSS4,BBOX1,PPFIA2,PAPPA2,ERBB4,CALCR,ITGB6,PKP4,DEPTOR"
26,Mast,[mast cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000097),"CPA3,TPSB2,HDC,SLC8A3,SLC18A2,KIT,SLC24A3,GRAP2,IL18R1,GATA2"
27,Medullary Fibroblast,[fibroblast](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000057),"MOXD1,CLMP,ATRNL1,LSAMP,NID1,PID1,MEIS1,LAMA2,HPSE2,LPAR1"
28,Medullary Thick Ascending Limb,[kidney loop of Henle medullary thick ascending limb epithelial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_1001108),"SIM2,SLC12A1,ESRRB,CACNA2D3,ESRRG,ATP1A1,LINC01762,PTGER3,ATP1B1,EGF"
29,Mesangial,[mesangial cell](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000650),"AGTR1,PDGFRB,PIEZO2,WISP1,DAAM2,CARMN,PRR16,ITGA8,COL25A1,ROBO1"
30,Monocyte,[monocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000576),"SLC11A1,MYO1F,DOCK2,ADGRE2,ITGAL,AOAH,IRAK3,SMAP2,TBXAS1,ZEB2"
31,Monocyte-derived,[monocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000576),"CSF2RA,TLR2,PIK3R5,RTN1,ATP8B4,HLA-DPB1,FYB1,AOAH,CIITA,HLA-DRB1"
32,Natural Killer / Natural Killer T,[lymphocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0000542),"GNLY,RUNX3,MYBL1,CD247,SLFN12L,IKZF3,SAMD3,APBA2,STAT4,AOAH"
