"Biomarker.IDs","Biomarker.Names"
"HGNC:16874","SV2B"
"HGNC:21637","SATB2"
"HGNC:2550","CELF2"
"HGNC:20990","PHACTR1"
"HGNC:1943","CHN1"
"HGNC:18117","KHDRBS3"
"HGNC:27036","RALYL"
"HGNC:6533","LDB2"
"HGNC:7751","NELL2"
"HGNC:4814","KALRN"
"HGNC:4092","GAD1"
"HGNC:18708","GRIP1"
"HGNC:29173","KAZN"
"HGNC:6234","KCNC2"
"HGNC:11634","TCF4"
"HGNC:4093","GAD2"
"HGNC:6776","MAF"
"HGNC:11042","SLC6A1"
"HGNC:13427","RBMS3"
"HGNC:7820","NHS"
"HGNC:21100","QKI"
"HGNC:13503","ZBTB20"
"HGNC:9592","PTGDS"
"HGNC:20610","PHLPP1"
"HGNC:1760","CDH20"
"HGNC:9305","PPP2R2B"
"HGNC:8781","PDE4B"
"HGNC:2987","DOCK1"
"HGNC:6866","MAP4K4"
"HGNC:10940","SLC1A2"
"HGNC:17416","ADGRV1"
"HGNC:10941","SLC1A3"
"N/A","RNF219.AS1"
"HGNC:25361","ARHGAP24"
"HGNC:2475","CST3"
"HGNC:637","AQP4"
"HGNC:3126","EBF1"
"HGNC:74","ABCG2"
"HGNC:3749","FLI1"
"HGNC:6551","LEF1"
"HGNC:16041","EMCN"
"HGNC:5397","IFI27"
"N/A","HLA.E"
"HGNC:20822","ADGRL4"
"HGNC:11891","CLEC3B"
"HGNC:1544","CBLN2"
"HGNC:19296","EPHA6"
"HGNC:2175","CNTN5"
"HGNC:18486","PDZD2"
"HGNC:19347","CUX2"
"HGNC:9876","RASGRF2"
"N/A","FAM19A1"
"HGNC:1369","CA10"
"HGNC:20821","COL24A1"
"HGNC:8004","NRP1"
"N/A","PTCHD1.AS"
"HGNC:7997","NRG1"
"HGNC:17512","HOMER1"
"HGNC:23616","SLC35F3"
"HGNC:21389","FSTL4"
"HGNC:21386","FSTL5"
"HGNC:5997","IL1RAPL2"
"HGNC:1944","CHN2"
"HGNC:18988","TOX"
"HGNC:2317","CPNE4"
"HGNC:16018","CADPS2"
"HGNC:21694","POU6F2"
"N/A","NPSR1.AS1"
"HGNC:6144","ITGA8"
"HGNC:26191","ZNF385D"
"HGNC:99","ASIC2"
"HGNC:2418","CRYM"
"HGNC:8076","NXPH2"
"HGNC:25428","KIAA1217"
"HGNC:16697","SORCS1"
"HGNC:10727","SEMA3E"
"HGNC:9674","PTPRK"
"HGNC:30552","PDZRN4"
"HGNC:1768","CDH9"
"HGNC:1753","CDH13"
"HGNC:1751","CDH12"
"N/A","LY86.AS1"
"HGNC:21355","MLIP"
"HGNC:26811","RNF152"
"HGNC:14288","NTNG2"
"HGNC:14217","STK32B"
"HGNC:6286","KCNMB2"
"HGNC:27475","GAS2L3"
"HGNC:24558","OLFML2B"
"HGNC:922","B3GAT2"
"N/A","C10orf11"
"HGNC:17941","NTM"
"N/A","MARCH1"
"HGNC:11840","TLE4"
"HGNC:3670","FGF13"
"HGNC:9682","PTPRT"
"HGNC:4574","GRIA4"
"HGNC:21345","PTCHD4"
"HGNC:29822","MYO16"
"HGNC:16097","LAMP5"
"HGNC:19191","DOCK8"
"N/A","FYB"
"HGNC:9666","PTPRC"
"HGNC:11609","TBXAS1"
"HGNC:2558","CX3CR1"
"HGNC:14211","BLNK"
"HGNC:10962","SLCO2B1"
"HGNC:2433","CSF1R"
"HGNC:9086","PLP1"
"HGNC:2511","CTNNA3"
"HGNC:7189","MOBP"
"HGNC:25552","RNF220"
"HGNC:18798","SLC44A1"
"HGNC:8803","PDGFRA"
"HGNC:16983","OLIG1"
"HGNC:2217","COL9A1"
"HGNC:974","BCAS1"
"HGNC:15889","FERMT1"
"HGNC:983","BCHE"
"HGNC:26911","ZCCHC24"
"HGNC:3432","ERBB4"
"HGNC:20823","DPP10"
"HGNC:21711","ZNF804A"
"HGNC:23844","BTBD11"
"HGNC:11086","SLIT2"
"HGNC:19307","SDK1"
"HGNC:9704","PVALB"
"HGNC:11068","SLC8A1"
"HGNC:16272","MAML3"
"HGNC:227","ADARB2"
"HGNC:19311","NPAS3"
"HGNC:11141","SNCG"
"HGNC:4579","GRIK1"
"HGNC:4576","GRID2"
"HGNC:20693","NXPH1"
"HGNC:18603","COL25A1"
"HGNC:16421","SOX6"
"HGNC:19342","ST6GALNAC5"
"N/A","FAM46A"
"HGNC:11353","STAC"
"HGNC:8515","OTOF"
"HGNC:7957","NPY2R"
"HGNC:2356","CRHBP"
"HGNC:33736","ANKRD34B"
"HGNC:17807","CHODL"
"HGNC:33844","GALNTL6"
"HGNC:6693","LRP1B"
"HGNC:4599","GRM7"
"HGNC:22207","THSD7A"
"HGNC:16507","SYNPR"
"HGNC:10977","SLC24A3"
"HGNC:21449","ITIH5"
"HGNC:11595","TBX18"
"HGNC:1346","C7"
"HGNC:2212","COL6A2"
"HGNC:30668","SRPX2"
"HGNC:20105","FLVCR2"
"HGNC:3770","FMO2"
"HGNC:4235","GFAP"
"HGNC:8783","PDE4D"
"HGNC:5362","ID3"
"HGNC:2510","CTNNA2"
"HGNC:3690","FGFR3"
"HGNC:4595","GRM3"
"HGNC:4274","GJA1"
"HGNC:14404","ETNPPL"
"HGNC:8945","SERPINI2"
"HGNC:14633","ADAMTSL3"
"HGNC:30289","RASL12"
"HGNC:43960","LINC00609"
"HGNC:16039","ANGPTL4"
"HGNC:633","AQP1"
"HGNC:15917","PLCB1"
"HGNC:13819","SLCO1C1"
"HGNC:14460","NDRG2"
"HGNC:9453","PRODH"
"HGNC:9065","PLCG1"
"HGNC:4962","HLA-E"
"HGNC:20203","NOSTRIN"
"HGNC:9361","SRGN"
"HGNC:16051","PARD3"
"HGNC:4593","GRM1"
"HGNC:22431","TMEM196"
"HGNC:21207","LINGO2"
"HGNC:277","ADRA1A"
"HGNC:18306","KCNG3"
"HGNC:8209","OR1J2"
"HGNC:6277","KCNK2"
"HGNC:6163","ITGB8"
"HGNC:1951","CHRM2"
"HGNC:9873","RASAL1"
"HGNC:43558","LINC00507"
"HGNC:870","ATP7B"
"HGNC:19411","LRRTM4"
"HGNC:6821","MAN1A1"
"HGNC:2928","DMD"
"HGNC:3345","ENC1"
"HGNC:2850","DGKB"
"HGNC:11087","SLIT3"
"HGNC:4328","GLRA3"
"HGNC:241","ADCYAP1"
"HGNC:2905","DLGAP1"
"HGNC:3050","DSG3"
"HGNC:29317","LRRC4C"
"HGNC:9685","PTPRZ1"
"HGNC:12695","VIPR2"
"HGNC:18748","CNTNAP5"
"HGNC:24350","CCDC68"
"HGNC:4571","GRIA1"
"HGNC:30024","PEX5L"
"HGNC:18649","GULP1"
"HGNC:9655","PTPN3"
"HGNC:23242","GALNT13"
"HGNC:10249","ROBO1"
"HGNC:31700","ZBTB7C"
"HGNC:19666","STXBP6"
"HGNC:48603","SCHLAP1"
"HGNC:19364","RTKN2"
"HGNC:10484","RYR2"
"HGNC:26836","SLC38A11"
"HGNC:3768","FMN1"
"HGNC:21063","MOXD1"
"HGNC:21013","PLXDC2"
"HGNC:23392","CARM1P1"
"N/A","LINCR-0002"
"HGNC:7657","NCAM2"
"HGNC:26901","OTOGL"
"HGNC:6181","ITPR2"
"HGNC:9237","PPARGC1A"
"HGNC:4140","GAP43"
"HGNC:3355","ENPEP"
"HGNC:27545","LINC00922"
"HGNC:3446","ERG"
"HGNC:4243","GFRA1"
"HGNC:9874","RASAL2"
"HGNC:13506","FEZF2"
"HGNC:743","ASGR2"
"HGNC:14075","SGCZ"
"HGNC:37203","VWC2L"
"HGNC:13841","ADGRG6"
"HGNC:8656","PCDH11X"
"HGNC:49229","LINC01107"
"HGNC:21732","ANTXR2"
"HGNC:5995","IL1RAP"
"HGNC:6484","LAMA4"
"HGNC:10258","RORA"
"HGNC:8659","PCDH7"
"HGNC:12004","TPBG"
"HGNC:5292","HTR1F"
"HGNC:49633","LINC01202"
"HGNC:18608","LRRK1"
"HGNC:8742","PCP4"
"HGNC:10002","RGS6"
"HGNC:2186","COL11A1"
"HGNC:20421","LNX2"
"HGNC:23729","MKX"
"HGNC:19718","RXFP1"
"HGNC:1569","CCK"
"HGNC:11220","SPARCL1"
"HGNC:21204","IPCEF1"
"HGNC:12635","UTRN"
"HGNC:11949","TNNT2"
"HGNC:15521","KCNIP1"
"HGNC:20392","SULF2"
"HGNC:6249","KCNG2"
"HGNC:39689","ANKRD26P3"
"HGNC:13823","NETO1"
"HGNC:8602","PAPPA"
"HGNC:2445","CSN1S1"
"HGNC:29229","NWD2"
"HGNC:51189","LINC01507"
"HGNC:26534","FER1L6-AS2"
"HGNC:19037","MAST4"
"HGNC:40780","NREP-AS1"
"HGNC:22128","NPSR1-AS1"
"HGNC:8774","PDE1A"
"HGNC:13433","ROBO3"
"HGNC:23631","NPSR1"
"HGNC:9011","PKD2L1"
"HGNC:43910","IFNG-AS1"
"HGNC:4454","GPC6"
"HGNC:43592","GDNF-AS1"
